"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 07, 2021","10,014.30","9,992.51","10,030.35","9,979.16","336.29M","0.25%"
"Apr 06, 2021","9,988.98","9,965.18","9,995.84","9,958.93","396.76M","0.24%"
"Apr 05, 2021","9,964.84","9,969.51","9,984.14","9,939.60","364.40M","0.02%"
"Apr 04, 2021","9,962.77","9,891.10","9,986.16","9,862.77","373.20M","0.68%"
"Apr 01, 2021","9,895.56","9,908.07","9,938.50","9,869.47","328.30M","-0.12%"
"Mar 31, 2021","9,907.82","9,810.52","9,909.64","9,762.37","507.95M","2.83%"
"Mar 30, 2021","9,635.34","9,610.66","9,635.34","9,592.28","355.30M","0.20%"
"Mar 29, 2021","9,615.63","9,496.36","9,615.63","9,492.07","314.74M","1.40%"
"Mar 28, 2021","9,482.95","9,438.60","9,508.20","9,422.91","252.81M","0.69%"
"Mar 25, 2021","9,417.71","9,463.52","9,495.43","9,417.71","253.31M","-0.49%"
"Mar 24, 2021","9,464.08","9,462.58","9,498.71","9,430.66","290.92M","-0.27%"
"Mar 23, 2021","9,489.63","9,546.12","9,571.88","9,489.63","376.55M","-0.61%"
"Mar 22, 2021","9,547.42","9,500.56","9,565.69","9,466.84","344.72M","0.51%"
"Mar 21, 2021","9,498.85","9,462.19","9,508.42","9,454.25","289.28M","0.14%"
"Mar 18, 2021","9,485.96","9,604.45","9,624.14","9,485.96","355.78M","-1.21%"
"Mar 17, 2021","9,602.26","9,666.49","9,673.57","9,566.66","472.28M","-0.60%"
"Mar 16, 2021","9,660.27","9,640.31","9,698.68","9,619.71","727.29M","0.15%"
"Mar 15, 2021","9,645.74","9,678.50","9,678.70","9,610.72","508.45M","-0.20%"
"Mar 14, 2021","9,664.61","9,611.32","9,666.58","9,611.32","450.29M","0.80%"
"Mar 11, 2021","9,587.79","9,605.62","9,639.88","9,549.62","455.91M","-0.08%"
"Mar 10, 2021","9,595.45","9,486.59","9,617.31","9,486.09","536.31M","1.29%"
"Mar 09, 2021","9,473.20","9,381.64","9,487.65","9,380.74","571.87M","1.05%"
"Mar 08, 2021","9,374.37","9,353.07","9,397.17","9,320.35","582.33M","0.25%"
"Mar 07, 2021","9,351.08","9,320.56","9,375.35","9,320.19","572.99M","1.18%"
"Mar 04, 2021","9,242.28","9,311.16","9,311.92","9,242.28","507.27M","-0.73%"
"Mar 03, 2021","9,310.28","9,267.84","9,314.75","9,257.27","531.20M","0.67%"
"Mar 02, 2021","9,248.28","9,159.46","9,266.99","9,158.98","570.40M","1.20%"
"Mar 01, 2021","9,138.37","9,161.80","9,222.98","9,132.03","497.68M","-0.07%"
"Feb 28, 2021","9,144.99","9,115.61","9,198.65","9,099.14","408.62M","-0.54%"
"Feb 25, 2021","9,194.92","9,161.60","9,263.16","9,161.14","449.56M","0.87%"
"Feb 24, 2021","9,115.76","9,166.81","9,217.03","9,078.54","545.87M","-0.39%"
"Feb 23, 2021","9,151.71","9,096.86","9,177.91","9,095.43","465.77M","0.82%"
"Feb 22, 2021","9,077.62","9,090.13","9,114.01","9,064.02","382.52M","-0.09%"
"Feb 21, 2021","9,085.97","9,067.92","9,108.32","9,061.80","313.22M","0.68%"
"Feb 18, 2021","9,024.23","9,084.31","9,118.23","9,024.23","382.32M","-0.66%"
"Feb 17, 2021","9,084.31","9,101.96","9,134.41","9,058.28","489.11M","-0.19%"
"Feb 16, 2021","9,101.96","9,081.78","9,117.63","9,027.34","480.10M","0.22%"
"Feb 15, 2021","9,081.78","9,035.53","9,142.21","9,054.76","386.14M","0.51%"
"Feb 14, 2021","9,035.53","8,943.85","9,047.70","8,956.49","324.15M","1.03%"
"Feb 11, 2021","8,943.85","8,901.63","8,943.85","8,891.48","292.08M","0.47%"
"Feb 10, 2021","8,901.63","8,892.92","8,972.26","8,889.92","304.66M","0.10%"
"Feb 09, 2021","8,892.92","8,809.34","8,918.16","8,825.72","313.30M","0.95%"
"Feb 08, 2021","8,809.34","8,687.93","8,822.20","8,692.74","276.19M","1.40%"
"Feb 07, 2021","8,687.93","8,617.87","8,719.62","8,619.72","200.02M","0.81%"
"Feb 04, 2021","8,617.87","8,542.55","8,626.29","8,464.47","233.52M","0.88%"
"Feb 03, 2021","8,542.55","8,618.57","8,622.71","8,542.55","230.93M","-0.88%"
