Date,Price,Open,High,Low,Vol.,Change %
"Mar 17, 2021","23,828.68","23,711.14","24,204.82","23,619.22",346.34K,0.50%
"Mar 16, 2021","23,711.14","23,579.78","24,039.49","23,274.60",346.01K,0.38%
"Mar 15, 2021","23,620.69","23,880.41","23,892.10","23,274.57",315.39K,-0.68%
"Mar 14, 2021","23,783.31","24,005.58","24,222.50","23,737.00",398.07K,-1.62%
"Mar 11, 2021","24,175.09","25,851.15","25,851.15","23,909.07",700.94K,-6.69%
"Mar 10, 2021","25,908.40","26,208.49","26,311.43","25,826.31",244.46K,-1.12%
"Mar 09, 2021","26,202.64","25,840.11","26,249.80","25,682.77",202.12K,1.54%
"Mar 08, 2021","25,805.04","26,026.75","26,026.75","25,379.10",287.36K,-0.80%
"Mar 07, 2021","26,012.03","25,840.89","26,216.61","25,613.37",310.18K,0.38%
"Mar 04, 2021","25,914.50","26,010.33","26,257.08","25,508.88",318.19K,-0.96%
"Mar 03, 2021","26,165.55","25,746.21","26,165.55","25,704.39",270.52K,1.11%
"Mar 02, 2021","25,878.70","25,677.49","25,967.63","25,647.68",305.99K,0.21%
"Mar 01, 2021","25,824.70","25,466.59","25,880.71","25,466.59",634.22K,1.52%
"Feb 28, 2021","25,437.36","26,074.14","26,687.92","25,437.36",486.23K,-5.38%
"Feb 25, 2021","26,883.79","26,461.45","27,004.86","26,428.92",511.45K,1.31%
"Feb 24, 2021","26,535.91","27,263.40","27,462.83","26,137.75",821.36K,-2.88%
"Feb 23, 2021","27,321.85","27,496.37","27,862.84","26,965.65",760.37K,-0.66%
"Feb 22, 2021","27,502.22","27,131.32","27,550.72","26,810.93",663.52K,1.50%
"Feb 21, 2021","27,096.25","27,635.50","27,698.18","27,066.11",999.11K,-1.31%
"Feb 18, 2021","27,456.00","27,866.66","28,103.08","26,842.39",673.34K,-1.47%
"Feb 17, 2021","27,866.66","26,588.85","27,866.66","26,402.46",1.88M,4.81%
"Feb 16, 2021","26,588.85","25,256.35","27,260.13","25,132.56",559.4K,5.28%
"Feb 15, 2021","25,256.35","25,146.82","25,412.33","24,942.91",259.79K,0.44%
"Feb 14, 2021","25,146.82","25,346.70","25,648.92","25,054.05",404.03K,-0.79%
"Feb 11, 2021","25,346.70","25,667.15","25,704.66","25,268.85",179.04K,-1.25%
"Feb 10, 2021","25,667.15","25,359.53","25,727.23","25,305.37",230.23K,1.21%
"Feb 09, 2021","25,359.53","25,589.83","25,708.86","25,359.53",270.2K,-0.90%
"Feb 08, 2021","25,589.83","25,269.14","25,657.53","25,274.99",300.01K,1.27%
"Feb 07, 2021","25,269.14","24,731.09","25,635.38","24,708.64",568.34K,2.18%
"Feb 04, 2021","24,731.09","24,922.01","24,834.11","24,325.71",352.07K,-0.77%
"Feb 03, 2021","24,922.01","25,067.24","25,496.74","24,419.63",491.42K,-0.58%
"Feb 02, 2021","25,067.24","25,234.49","25,358.26","24,705.00",306.51K,-0.66%
"Feb 01, 2021","25,234.49","25,139.59","25,417.77","25,116.09",313.7K,0.38%
"Jan 31, 2021","25,139.59","25,927.97","26,072.08","25,139.59",238.92K,-3.04%
"Jan 28, 2021","25,927.97","26,308.58","26,218.73","25,811.15",141.7K,-1.45%
"Jan 27, 2021","26,308.58","25,940.86","26,586.53","25,751.24",95.05K,1.42%
"Jan 26, 2021","25,940.86","26,053.45","26,197.43","25,779.96",159.58K,-0.43%
